bloc;region;annee;depense_totale;yoy_pct;patho;depense;age;sexe
serie_temporelle_yoy;84;2015;70268065301.0;;;;;
serie_temporelle_yoy;84;2016;72480659721.0;3.1487908632778394;;;;
serie_temporelle_yoy;84;2017;74554955150.0;2.8618605804425545;;;;
serie_temporelle_yoy;84;2018;76369370018.0;2.4336610012701376;;;;
serie_temporelle_yoy;84;2019;78261591006.0;2.4777224004257414;;;;
serie_temporelle_yoy;84;2020;78226365455.0;-0.045010011357038415;;;;
serie_temporelle_yoy;84;2021;87034681126.0;11.260034413930441;;;;
serie_temporelle_yoy;84;2022;90313821699.0;3.7676251932867943;;;;
serie_temporelle_yoy;84;2023;94708839089.0;4.8663840233091005;;;;
top_pathologies;84;2015;;;Hospitalisations hors pathologies repérées (avec ou sans pathologies, traitements ou maternité);8325074571.021561;;
top_pathologies;84;2015;;;Maladies cardioneurovasculaires;3729455429.2108154;;
top_pathologies;84;2015;;;Cancers;3717468565.668267;;
top_pathologies;84;2015;;;Maladies psychiatriques;3639229437.5258927;;
depenses_par_age;84;2015;;;Hospitalisations hors pathologies repérées (avec ou sans pathologies, traitements ou maternité);783933302.8072195;0-19;
depenses_par_age;84;2015;;;Pas de pathologie repérée, traitement, maternité, hospitalisation ou traitement antalgique ou anti-inflammatoire;427092114.8630849;0-19;
depenses_par_age;84;2015;;;Maladies psychiatriques;168051686.0597647;0-19;
depenses_par_age;84;2015;;;Maladies respiratoires chroniques (hors mucoviscidose);77133858.28984174;0-19;
depenses_par_age;84;2015;;;Traitements antalgiques ou anti-inflammatoires (hors pathologies, traitements, maternité ou hospitalisations);54131421.13420696;0-19;
depenses_par_age;84;2015;;;Affections de longue durée (dont 31 et 32) pour d'autres causes;42223476.088130414;0-19;
depenses_par_age;84;2015;;;Maladies inflammatoires ou rares ou infection VIH;31895896.16839546;0-19;
depenses_par_age;84;2015;;;Maladies neurologiques;30281421.3521466;0-19;
depenses_par_age;84;2015;;;Cancers;12036493.306609735;0-19;
depenses_par_age;84;2015;;;Maladies cardioneurovasculaires;11709464.922916314;0-19;
depenses_par_age;84;2015;;;Maternité (avec ou sans pathologies);8851504.523636635;0-19;
depenses_par_age;84;2015;;;Diabète;6433362.560772765;0-19;
depenses_par_age;84;2015;;;Traitements psychotropes (hors pathologies);5136452.913926579;0-19;
depenses_par_age;84;2015;;;Maladies du foie ou du pancréas (hors mucoviscidose);3270172.151249894;0-19;
depenses_par_age;84;2015;;;Traitements du risque vasculaire (hors pathologies);941848.1460482037;0-19;
depenses_par_age;84;2015;;;Insuffisance rénale chronique terminale;473788.9575488189;0-19;
